type	corpus	en_source	ko_reference	ko_target	annotation	accuracy	fluency	style	total
Training	GlobalVoices	And the perpetrators do not stop because of the clemency - a driver can only be punished up to 5 years in jail for killing someone on the road. 	그리고 범법자들은 자비때문에 이런 행위를 멈추지 않는다-길에서 사람을 치어 죽여도 운전자는 징역 5년형 이하밖에 받지 않기 때문이다. 	도로에서 사망을 초래한 운전자는 최대 5년의 징역형을 받을 수 있기 때문에 관대함에도 불구하고 범죄자들은 계속됩니다.	"Accuracy: only(omission/major), 때문에 관대함에도 불구하고 범죄자들은 계속됩니다.(mistranslation/major)
Fluency: 사망을 초래한 운전자는(unnaturalness/minor), 관대함에도 불구하고 범죄자들은 계속됩니다.(unnaturalness/minor)
Style: -(structure/major)"	30.0	7.0	5.0	42.0
Training	GlobalVoices	The Supreme Court struck down three sections of the law, but sent back to the lower court for consideration the provision of Section 2(B), which grants authorities the power to detain people that are suspected of lacking legal documents to be in Arizona. 	대법원은 이 조례의 3가지 조항을 거부하였지만 조항 2(B)는 하급 법원으로 돌려보내며 검토를 요구했다. 조항 2는 권력 기관으로 하여금 법적 서류를 갖추지 못한 것으로 의심되는 아리조나 주의 이민자들을 구류할 수 있는 권한을 부여하는 내용을 담고 있다. 	대법원은 법의 세 부분을 무효화했지만 법집행기관이 아리조나에 거주하기 위한 서류가 불충분한 것으로 여겨지는 개인을 구금하도록 허용하는 섹션 2(B)의 측면을 하위 법원에서 검토하도록 환송했습니다.	"Accuracy: 부분을(mistranslation/major), 섹션(mistranslation/major), 법집행기관이(mistranslation/major)
Fluency: 아리조나에 거주하기 위한 서류가 불충분한 것으로 여겨지는 개인을(unnaturalness/minor), 섹션 2(B)의 측면을(unnaturalness/minor)
Style: -"	15.0	11.0	0.0	26.0
Training	GlobalVoices	Although the Taliban regime was controlling the country, I tried to inject ideas of change into my peers of that time. 	비록 탈레반 정권이 지배하는 나라였지만, 전 당시 동료들에게 변화에 대한 제 생각을 전파하고자 했었습니다. 	탈레반이 나라를 장악했음에도 불구하고 나는 그 시기에 동시대인들에게 변혁적 개념을 도입하기 위해 노력했다.	"Accuracy: regime(omission/major), 동시대인들에게 변혁적 개념을 도입하기(mistranslation/major)
Fluency: 그 시기에 동시대인들에게 변혁적 개념을 도입하기 위해(unnaturalness/minor)
Style: -"	25.0	7.0	0.0	32.0
Training	GlobalVoices	I tried a lot of things; I made a model car and a helicopter. I made something like a sensor-controlled car as well. 	그래도 여러 가지를 만들어보려 했었습니다: 모형 자동차와 헬리콥터를 만들고, 센서로 조종하는 자동차 같은 것도 만들었었죠. 	나는 미니어처 차량과 항공기를 모두 제작하면서 다양한 실험을 했습니다. 또한 센서를 통해 작동하는 자동차와 같은 물체를 만들었습니다.	"Accuracy: 다양한 실험을(mistranslation/minor), 모두(addition/minor), 물체를(mistranslation/minor)
Fluency: 자동차와 같은 물체를(unnaturalness/minor)
Style: -"	4.0	3.0	0.0	7.0
Training	GlobalVoices	They do not want to be a part of the Zowail city. 	대학구성원들은 즈왈리 시 사업의 일부가 되기를 거부하고 있다. 	Zowail 도시의 일부가 되는 것은 그들이 원하는 것이 아닙니다.	"Accuracy: Zowail(untranslated text/major)
Fluency: 도시의(unnaturalness/minor), Zowail(untranslated text/major)
Style: Zowail 도시의 일부가 되는 것은 그들이 원하는 것이 아닙니다.(structure/major)"	5.0	6.0	5.0	16.0
Training	GlobalVoices	The report became big news on Pakistan's mainstream media five days later on August 22. 	이 뉴스는 5일 후인 8월 22일 파키스탄의 주요 언론에 의해 대서특필되었다. 	8월 22일이 되어서야 이 보고서는 관심을 끌었고 파키스탄의 주요 뉴스 매체에서 널리 다루게 되었습니다.	"Accuracy: big(omission/minor), five days later(omission/major)
Fluency: 이 보고서는 다루게 되었습니다.(unnaturalness/minor)
Style: 8월 22일이 되어서야 이 보고서는(structure/minor)"	16.0	4.0	1.0	21.0
Training	GlobalVoices	"""Those like us who document deaths, we do not cry,"" she wrote, before being kidnapped by a group of masked men in Douma in the suburbs of Damascus. "	그녀는 수도 다마스쿠스의 외곽에 위치한 두마 (Douma) 에서 복면을 쓴 괴한들에게 납치됐으며, 납치 되기 전 “비록 죽음이 눈앞에 있지만, 슬프지 않다,”라는 글을 남겼다. 	&quot;우리처럼 사망자를 기록하는 우리는 눈물을 흘리지 않는다&quot;고 그녀는 다마스쿠스 외곽에 위치한 두마에서 망토를 입은 남자들의 집회에 납치되기 전에 썼다.	"Accuracy: 우리는(mistranslation/major), 망토를 입은 남자들의 집회에(mistranslation/major)
Fluency: &quot;(encoding/major), &quot;(encoding/major), 우리처럼 사망자를 기록하는 우리는 그녀는 망토를 입은 남자들의 집회에 납치되기 전에 썼다.(unnaturalness/minor)
Style: -"	25.0	22.0	0.0	47.0
Training	GlobalVoices	Shortly after I moved to Germany in 2014, the state of Lower Saxony became the last region to nix tuition fees, making university education free for all, including non-citizens. 	2014년에 내가 독일로 이주한 직후, 니더작센 주는 대학 등록금을 거부한 마지막 주가 되었다. 	2014년에 독일로 이주한 지 얼마 되지 않아 니더작센은 등록금을 없애는 마지막 지역이 되었습니다. 그 결과 시민권자가 아닌 모든 사람을 위한 무료 대학 교육이 이루어졌습니다.	"Accuracy: I(omission/major)
Fluency: 독일로 이주한 지 얼마 되지 않아(unnaturalness/minor)
Style: -"	5.0	6.0	0.0	11.0
Training	GlobalVoices	Do you think, had the events of Sidi Bouzid or Cairo happened, say, in the 80s, when the Internet was not available yet, it would have achieved the tremendous rallying we've witnessed? 	당신은 1980년대에 인터넷이 아직 활성화되지 않았던 시기에도 시디바우지드나 카이로에서 일어났던 놀라운 대규모의 시위가 일어날 수 있다고 생각하는가? 	인터넷이 보급되기 전인 1980년대에 Sidi Bouzid나 Cairo에서 일어난 사건이 우리가 관찰한 것처럼 거대한 지지를 모을 수 있었다고 말하겠습니까?	"Accuracy: Sidi Bouzid나 Cairo에서 일어난 사건이(mistranslation/major), 관찰한(mistranslation/major), 지지를(mistranslation/major), 말하겠습니까?(mistranslation/mistranslation/major)
Fluency: 우리가 관찰한 것처럼 거대한 지지를 모을 수 있었다고 말하겠습니까?(unnaturalness/minor), Sidi Bouzid나 Cairo(untranslated text/major)
Style: -"	40.0	24.0	0.0	64.0
Training	GlobalVoices	This particular fan-made tribute video is rapidly gaining views on Youtube. 	현재 유투브에서 급하게 인기몰이를 하고 있는 이 동영상은 6학년이 만든 것으로 알려졌다. 	특정 단체에 경의를 표하는 이 비공식 영상의 조회수는 유튜브 플랫폼에서 빠르게 증가하고 있습니다.	"Accuracy: 특정 단체에 경의를 표하는 이 비공식 영상의(mistranslation/major)
Fluency: 특정 단체에 경의를 표하는 이 비공식 영상의 조회수는(unnaturalness/minor)
Style: 조회수는 유튜브 플랫폼에서 빠르게 증가하고 있습니다.(structure/major)"	35.0	8.0	5.0	48.0
Training	GlobalVoices	The realities on the ground speak their own truth 	그 곳의 대지가 진실을 말한다 	현재의 현실은 그들의 진실성을 묘사합니다.	"Accuracy: 현재의(mistranslation/major), 진실성을 묘사합니다.(mistranslation/minor)
Fluency: 현재의 현실은 그들의 진실성을 묘사합니다.(unnaturalness/minor)
Style: -"	7.0	5.0	0.0	12.0
Training	GlobalVoices	Mwata Chisha is a Zambian blogger based in the United States of America. 	므와타 치샤는 미국에 거주중인 잠비아인 블로거이다. 	잠비아 출신인 Mwata Chisha는 미국에 거주하는 블로거입니다.	"Accuracy: 잠비아 출신인(shift in meaning/minor), Mwata Chisha(untranslated text/major)
Fluency: Mwata Chisha(untranslated text/major)
Style: 잠비아 출신인 Mwata Chisha는(structure/major)"	12.0	10.0	5.0	27.0
Training	GlobalVoices	Western Internet and technology juggernauts Google and Apple may be working on moving some of their servers storing user data to Russia, according to head of Russian media watchdog Roscomnadzor. 	러시아 언론 감시 기관인 언론감독청 수장은 인터넷/IT 거대 기업인 구글과 애플이 몇몇 서버를 러시아로 옮기는 중이라고 밝혔다. 	러시아 미디어 규제 기관의 책임자인 Roscomnadzor는 저명한 디지털 회사인 Google과 Apple이 사용자 정보를 포함하는 서버 인프라의 일부를 러시아로 이전할 수 있다고 제안했습니다.	"Accuracy: 규제(mistranslation/major), 제안했습니다.(mistranslation/major), 저명한 디지털(mistranslation/major), Western Internet(omission/major), 포함하는(mistranslation/minor), 인프라의(addition/minor), 제안했습니다.(mistranslation/major), Roscomnadzor(untranslated text/major), Google과 Apple이(untranslated text/major)
Fluency: 제안했습니다.(unnaturalness/minor), Roscomnadzor(untranslated text/major), Google과 Apple이(untranslated text/major)
Style: 러시아 미디어 규제 기관의 책임자인 Roscomnadzor는...있다고 제안했습니다.(structure/major)"	52.0	16.0	5.0	73.0
Training	GlobalVoices	In southern China in particular, toxins have been discharged with sewage by mining operations and made their way into rice paddies. 	특히 중국 남부 지방의 경우 광산의 중금속 성분들이 하수구를 통해 논으로 들어갔다. 	광업 활동으로 인해 중국 남부 지역의 하수에 유해 물질이 방출되어 궁극적으로 논을 오염시켰습니다.	"Accuracy: in particular(omission/major), 궁극적으로(addition/minor), 오염시켰습니다(mistranslation/major)
Fluency: -
Style: -"	16.0	0.0	0.0	16.0
Training	GlobalVoices	Russian censors are now blocking YouTube videos for offending user comments. 	러시아 검열 당국은 불쾌한 댓글이 달렸다는 이유로 유튜브 비디오까지 접속 차단하고 있다. 	사용자의 부적절한 댓글로 인해 러시아에서 YouTube 동영상이 차단되고 있습니다.	"Accuracy: YouTube(untranslated text/major), censors(omission/major)
Fluency: YouTube(untranslated text/major)
Style: 러시아에서 YouTube 동영상이 차단되고 있습니다.(structure/major)"	10.0	5.0	5.0	20.0
Training	GlobalVoices	Singapore’s 2013 budget certainly tries to give Singaporeans what they have been clamoring for: Stricter limits on foreign labour, carrots and sticks to increase local productivity, a more progressive tax structure, more measures to cool house and car prices. 	이를테면 외국인 노동에 대한 엄격한 제한, 지역 생산성 증가를 위한 당근과 채찍 사용, 보다 혁신적인 세금 구조, 집 값과 자동차 가격 동결을 위한 더 많은 조치 등이다. 	싱가포르의 2013년 예산은 외국인 노동력에 대한 더 엄격한 제약을 부과하고, 국내 효율성을 향상시키기 위한 인센티브와 벌칙을 시행하고, 보다 누진적인 세금 시스템을 도입하고, 자동차와 주택의 인플레이션을 줄이기 위한 추가 조치를 시행함으로써 싱가포르인의 요구를 충족시키기 위해 노력합니다. 물가.	"Accuracy: 누진적인(mistranslation/major), 인플레이션을 줄이기 위한(mistranslation/minor), 물가.(mistranslation/major)
Fluency: 충족시키기 위해 노력합니다. 물가.(unnaturalness/minor)
Style: 싱가포르의 2013년 예산은 ...요구를 충족시키기 위해 노력합니다.(structure/major), 물가.(structure/major)"	12.0	4.0	10.0	26.0
Training	GlobalVoices	During Chinese Vice President Xi Jingping's visit to the United States last week, Tibetan activists greeted Xi and the group of organized supporters with stories about human rights conditions in China. 	지난 주 이루어진 중국 시진핑 부주석의 미국 방문 기간 동안, 티베트인 운동가들은 중국의 인권 상황에 대한 이야기들로 시진핑과 지지자들을 맞았다. 	티베트 지지자들은 최근 미국을 방문한 시진핑 중국 부주석과 그의 지지자들을 환영하며 중국에서의 인권 침해에 대한 설명을 공유했습니다.	"Accuracy: During Chinese Vice President Xi Jingping's visit(omission/major)
Fluency: 인권 침해에 대한 설명을 공유했습니다.(unnaturalness/minor)
Style: 최근 미국을 방문한 시진핑 중국 부주석과 그의 지지자들을(structure/major)"	35.0	5.0	5.0	45.0
Training	GlobalVoices	Ironically, however, this isn't the first time that Azerbaijani produce has been available to Armenians. 	아이러니하게도, 이번이 아르메니아인들이 아제르바이잔 산 물품을 접할 수 있던 첫 번째 기회 중 하나는 아니다. 	역설적이게도 이것은 아르메니아 국민이 아제르바이잔 작물에 접근할 수 있었던 최초의 사례가 아닙니다.	"Accuracy: -
Fluency: 최초의 사례가(unnaturalness/minor)
Style: -"	0.0	2.0	0.0	2.0
Training	GlobalVoices	My job involved entering and installing a robot monitor that would enable examination of whether there was any damage in the steam generator. 	제가 맡은 일은 원자로에 나타날 수 있는 이상 여부를 판독할 수 있는 원격 로봇을 설치하는 것이었습니다. 	내 직업은 증기 발생기에 잠재적인 피해를 검사할 수 있는 로봇 감시 시스템을 입력하고 구현하는 일이었습니다.	"Accuracy: 직업은(mistranslation/minor), 잠재적인(mistranslation/minor)
Fluency: 로봇 감시 시스템을 입력하고(unnaturalness/minor)
Style: -"	2.0	4.0	0.0	6.0
Training	GlobalVoices	The latest revelations about the electioneering scandal show that more 24.2 million tweets have been written by the spy agency and the Defense Ministry's Cyberwarfare Command to smear opposition candidates and praise current president Park Geun-hye. 	선거 스캔들에 관한 최근 폭로로 야당후보를 비방하고 현 대통령 박근혜를 찬양하는 2420만 개 이상의 트윗들이 국정원과 국방부 사이버사령부에 의해 작성되었음이 드러났다. 	대선 스캔들에 관한 새로운 정보에 따르면 국정원과 국방부 사이버사령부가 야당 후보의 명예를 실추시키고 박근혜 현 대통령을 찬양하기 위해 2420만 개가 넘는 트윗이 작성됐다. .	"Accuracy: -
Fluency: .(punctuation/major)
Style: 대선 스캔들에 관한 새로운 정보에 따르면(structure/major)"	0.0	5.0	5.0	10.0
Training	GlobalVoices	Well over a year ago, state censors indefinitely blocked three relatively small oppositionist news websites. 	1년 전에, 러시아 검열 기관은 정부를 반대하는 소규모 뉴스 웹사이트를 영구적으로 차단했다. 	1년여 전에 상대적으로 규모가 작은 세 개의 반대파 뉴스 웹사이트가 정부 검열관에 의해 무기한 차단되었습니다.	"Accuracy: -
Fluency: 세 개의 반대파 뉴스 웹사이트가(unnaturalness/minor)
Style:  뉴스 웹사이트가 ... 차단되었습니다.(structure/major)"	0.0	5.0	5.0	10.0
Training	GlobalVoices	@Iyad_elbaghdadi: I have to take a break and cry for a bit. 	@Iyad_elbaghdadi: 잠깐 휴식 시간을 가지고 울어야겠습니다. 	잠시 멈추고 눈물을 흘려야 합니다.	"Accuracy: @Iyad_elbaghdadi:(omission/major), 멈추고(mistranslation/minor), 흘려야 합니다.(mistranslation/minor)
Fluency: -
Style: @Iyad_elbaghdadi:(structure/major)"	8.0	0.0	5.0	13.0
Training	GlobalVoices	Russian Internet legislation has been the subject of great concern among free expression advocates, policymakers, and average Internet users. 	러시아 인터넷 법은 언론자유 옹호단체에서 정책입안자, 평범한 인터넷 사용자에 이르기까지 많은 사람을 걱정하게 하였다. 	러시아의 인터넷법은 언론의 자유를 지지하는 사람들, 국회의원, 일반 온라인 사용자들 사이에 상당한 불안감을 불러일으켰습니다.	"Accuracy: 불안감을(mistranslation/minor)
Fluency: -
Style: -"	1.0	0.0	0.0	1.0
Training	GlobalVoices	It’s also how we learned that failed state Somalia failed mainly because of its hordes of angry terrorists obsessed with killing Americans. 	우리는 또한 소말리아가 몰락한 이유가 미국인 살인에 집착한 성난 테러리스트 그룹들 때문이라고 배웠어요. 	우리는 또한 소말리아가 주로 미국인 살해에 집착하는 불만을 품은 무장세력의 과잉으로 인해 국가로서 실패했다는 사실을 발견했습니다.	"Accuracy: 불만을 품은(mistranslation/minor), 무장세력의(mistranslation/minor), 과잉으로(addition/major), 국가로서(mistranslation/major), 발견했습니다.(mistranslation/minor)
Fluency: 집착하는 불만을 품은 무장세력의 과잉으로 인해(unnaturalness/minor)
Style: -"	14.0	6.0	0.0	20.0
Training	GlobalVoices	South Sudan has been born at time when Africa has made substantial steps in development unlike the 60s. 	지난 60년대와는 판이하게 아프리카 발전을 위한 지속적인 토대가 쌓아지고 있는 현재에 말이다. 	남수단의 탄생은 1960년대와는 사뭇 다른 아프리카의 상당한 발전 시기에 일어났다.	"Accuracy: -
Fluency: -
Style: -"	0.0	0.0	0.0	0.0
Training	GlobalVoices	Those who are protesting in Shahbag, they are not doing it to empower any party. 	샤흐백에서 시위하고 있는 사람들은 어떤 정당에 힘을 실어주기 위해 시위하는 것이 아닙니다. 	샤바그에서 집결한 사람들은 어떤 정치 단체를 강화하려는 것이 아닙니다.	"Accuracy: 집결한(mistranslation/major), 정치 단체를(mistranslation/major)
Fluency: 샤바그에서(unnaturalness/minor), 어떤 정치 단체를 강화하려는 것이(unnaturalness/minor)
Style: -"	15.0	6.0	0.0	21.0
Training	GlobalVoices	Iran to Partially Lift Ban on BBC · Global Voices 	이란, BBC 금지조치 임시 해제 	Global Voices는 이란이 BBC에 대한 금지 조치를 부분적으로 해제할 것이라고 보도했습니다.	"Accuracy: Global Voices(untranslated text/major)
Fluency: Global Voices(untranslated text/major)
Style: Global Voices는...이라고 보도했습니다.(structure/major)"	10.0	10.0	5.0	25.0
Training	GlobalVoices	senthilnath: RT @sivadayalan: Julian Assange could have won the Nobel prize if and only he publishes wikileaks of China, Russia (non US aligned countries) #wikileaks 	senthilnath: RT @sivadayalan: 만약 줄리앙 어샌지가 (미국과 동맹관계가 아닌) 중국과 러시아의 기밀 문서들을 폭로했다면, 줄리앙 어샌지는 노벨상을 탔을수도 있었어. #위키리크스 	@sivadayalan에 따르면 Julian Assange는 중국과 러시아(미국과 제휴하지 않은 국가)의 Wikileaks를 공개했다면 노벨상 수상자가 되었을 수 있습니다. #wikileaks	"Accuracy: senthilnath:(omission/major), Julian Assange Wikileaks(untranslated text/major), 제휴하지(mistranslation/major)
Fluency: Julian Assange Wikileaks(untranslated text/major), (미국과 제휴하지 않은 국가)(unnaturalness/minor)
Style: senthilnath:(structure/major), @sivadayalan에 따르면(structure/major)"	25.0	18.0	10.0	53.0
Training	GlobalVoices	Zaruhi Petrosyan, a 20-year-old mother of two was beaten to death by her husband and mother-in-law over attempts to extort money from her and her family. 	두 아이의 어머니였던 스무 살 자루히 페트로시안(Zaruhi Petrosyan)은 남편과 시어머니에게 구타당한 끝에 사망했다. 	그녀의 남편과 시어머니는 두 자녀를 둔 20세 여성 Zaruhi Petrosyan을 살해했습니다. 그들이 그녀와 그녀의 가족에게 돈을 주도록 강요하려 했기 때문입니다.	"Accuracy: Zaruhi Petrosyan(untranslated text/major), beaten to(omission/major), 돈을 주도록 강요하려(mistranslation/major)
Fluency: Zaruhi Petrosyan(untranslated text/major), 강요하려 했기 때문입니다.(unnaturalness/minor)
Style: 그녀의 남편과 시어머니는 ...Zaruhi Petrosyan을 살해했습니다.(structure/major), 그들이 그녀와 그녀의 가족에게 돈을 주도록 강요하려 했기 때문입니다.(structure/major)"	35.0	13.0	10.0	58.0
Training	GlobalVoices	Now the Dec 22 police crackdown is already being remembered as an 'epic failure ', generating considerable mockery online. 	지금 12월 22일 경찰의 진압은 이미 '최고의 실패작'으로 기억되고 있으며, 온라인에서도 상당히 조롱을 받고 있다. 	12월 22일의 경찰 작전은 현재 인터넷상에서 적지 않은 조롱거리로 이어지고 있는 중대 실책으로 낙인 찍히고 있다.	"Accuracy: 작전은(mistranslation/major), 낙인 찍히고(mistranslation/minor)
Fluency: 작전은(unnaturalness/minor)
Style: -"	7.0	1.0	0.0	8.0
Training	GlobalVoices	The concept of a sex boycott is at least 2,425 years old. 	섹스 보이콧의 개념은 최소한 2,425년이 넘었다. 	성적 파업의 개념은 적어도 2,425년 동안 존재해 왔습니다.	"Accuracy: -
Fluency: -
Style: -"	0.0	0.0	0.0	0.0
Training	GlobalVoices	One medical report said the cause of death was septicemia, a general term for a septic infection of the blood. 	다른 해부 기록은 중금속 중독이라고 말했다; 미구엘 엔젤의 피 안의 비소 농도가 치사량의 10배였던 것이다. 	의료 문서에 따르면 혈류의 세균 감염을 가리키는 광범위한 정의인 패혈증이 개인의 사망 원인이었습니다.	"Accuracy: One(omission/major), 문서에(mistranslation/minor), 광범위한(mistranslation/minor), 개인의(addition/major)
Fluency: 광범위한 정의인(unnaturalness/minor)
Style: 패혈증이 개인의 사망 원인이었습니다.(structure/major)"	12.0	2.0	5.0	19.0
Training	GlobalVoices	The Rarámuri indian's name is said to mean those who run fast, and that has sparked the attention of runners who believe that by walking in the traditional Tarahumara's shoes, the huaraches, they may be able to tap onto their speed and resistance. 	라라무리 인디안 (Rarámuri indian's)이라는 이름은 엄청나게 빠르게 뛰는 사람을 지칭하며, 이 이름은 전통적인 타라후마라 (Tarahumara)의 신발인 후아라체 (huaraches)를 신으면 달리기 속도와 실력이 늘어난다고 생각하는 많은 육상선수의 관심을 끌었다. 	Rarámuri 사람들의 명칭은 빠르게 움직이는 사람들을 의미하는 것으로 알려져 있으며, 걷거나 전력 질주하는 동안 huaraches라고 불리는 전통적인 Tarahumara 신발을 착용함으로써 민첩성과 지구력을 활용할 수 있다는 이론을 제시하는 사람들의 관심을 끌고 있습니다.	"Accuracy: 사람들의(mistranslation/major), 움직이는(mistranslation/major), 걷거나 전력 질주하는 동안(addition/major), 지구력을(mistranslation/minor), 이론을 제시하는(mistranslation/major), Rarámuri(untranslated text/major), huaraches(untranslated text/major), Tarahumara(untranslated text/major)
Fluency: 민첩성과 지구력을 활용할 수 있다는 이론을 제시하는(unnaturalness/minor), Rarámuri(untranslated text/major), huaraches(untranslated text/major), Tarahumara(untranslated text/major)
Style: -"	56.0	22.0	0.0	78.0
Training	GlobalVoices	Thank you for bringing this error to our attention. 	이런 오류가 있다는 걸 알려주셔서 감사합니다. 	이 실수를 알려주셔서 감사합니다.	"Accuracy: -
Fluency: 이 실수를 알려주셔서(unnaturalness/minor)
Style: -"	0.0	3.0	0.0	3.0
Training	GlobalVoices	You are destroying your family honor and pushing your family to suicide 	너희 가족의 명예를 파괴할 뿐만 아니라 가족을 자살로 밀어 넣고 있다. 	당신의 행동은 가족의 명예를 더럽히고 자멸로 몰아가고 있습니다.	"Accuracy: 당신의 행동은(mistranslation/minor)
Fluency: 자멸로 몰아가고 있습니다.(unnaturalness/minor)
Style: -"	2.0	3.0	0.0	5.0
Training	GlobalVoices	South Korean Lawmaker Proposes Bill Denying Right to Counsel for Anti-State Criminals · Global Voices 	한국: 국회 의원이 반국가적 활동을 한 사람에게 변호사 접견권 부인하는 법안을 발의하다 	한국의 한 국회의원이 국가에 반하는 범죄로 기소된 개인에 대한 변호인의 조력권을 보류하자는 제안을 소개합니다. · 세계적인 목소리	"Accuracy: 제안을 소개합니다(mistranslation/major), 보류하자는(mistranslation/major)
Fluency: 제안을 소개합니다(unnaturalness/minor)
Style: -"	15.0	2.0	0.0	17.0
Training	GlobalVoices	The matter could have been dealt with much better, and at a better time. 	저는 이 문제가 훨씬 더 나은 방식으로 더 나은 시기에 해결될 수도 있었다고 봅니다. 	상황을 보다 효과적으로, 그리고 보다 적절한 순간에 처리할 수 있었습니다.	"Accuracy: 상황을(mistranslation/major), 효과적으로(mistranslation/minor)
Fluency: -
Style: -"	6.0	0.0	0.0	6.0
